well_id,fold,horizontal_relative
000d7d20,2,000d7d20__horizontal_well.csv
00bbac68,0,00bbac68__horizontal_well.csv
00e12e8b,0,00e12e8b__horizontal_well.csv
015fe0d2,1,015fe0d2__horizontal_well.csv
01869cd4,3,01869cd4__horizontal_well.csv
01982c1d,0,01982c1d__horizontal_well.csv
028d7b28,0,028d7b28__horizontal_well.csv
02e7fe5a,1,02e7fe5a__horizontal_well.csv
0390d174,2,0390d174__horizontal_well.csv
03a935ae,3,03a935ae__horizontal_well.csv
044af7d1,0,044af7d1__horizontal_well.csv
0498acab,2,0498acab__horizontal_well.csv
052d64df,2,052d64df__horizontal_well.csv
05948241,4,05948241__horizontal_well.csv
059c8f24,3,059c8f24__horizontal_well.csv
05a0ee4d,3,05a0ee4d__horizontal_well.csv
060ab2b8,3,060ab2b8__horizontal_well.csv
06df5958,4,06df5958__horizontal_well.csv
071d7b45,2,071d7b45__horizontal_well.csv
0849b4e2,1,0849b4e2__horizontal_well.csv
084d66f9,2,084d66f9__horizontal_well.csv
08fecf00,4,08fecf00__horizontal_well.csv
09053135,1,09053135__horizontal_well.csv
09441b8d,4,09441b8d__horizontal_well.csv
0955cd6c,1,0955cd6c__horizontal_well.csv
09ec2ca9,2,09ec2ca9__horizontal_well.csv
0a57a29c,0,0a57a29c__horizontal_well.csv
0bbf5e67,4,0bbf5e67__horizontal_well.csv
0be01c24,1,0be01c24__horizontal_well.csv
0c1b160c,3,0c1b160c__horizontal_well.csv
0d99f8e4,0,0d99f8e4__horizontal_well.csv
0dc5e64d,2,0dc5e64d__horizontal_well.csv
0dc835f3,0,0dc835f3__horizontal_well.csv
0dd99dc5,0,0dd99dc5__horizontal_well.csv
0e5e560d,0,0e5e560d__horizontal_well.csv
109d9d70,3,109d9d70__horizontal_well.csv
10a1281a,1,10a1281a__horizontal_well.csv
10b89021,2,10b89021__horizontal_well.csv
10be2420,2,10be2420__horizontal_well.csv
113011eb,2,113011eb__horizontal_well.csv
1131525f,1,1131525f__horizontal_well.csv
11d0f5ac,1,11d0f5ac__horizontal_well.csv
12203f2a,1,12203f2a__horizontal_well.csv
122bd617,1,122bd617__horizontal_well.csv
125be846,2,125be846__horizontal_well.csv
1285a37b,2,1285a37b__horizontal_well.csv
1295a25b,2,1295a25b__horizontal_well.csv
12f0cd90,4,12f0cd90__horizontal_well.csv
137d1e44,4,137d1e44__horizontal_well.csv
13ce113d,1,13ce113d__horizontal_well.csv
13f598d9,1,13f598d9__horizontal_well.csv
14a53cb3,0,14a53cb3__horizontal_well.csv
14ab73fb,0,14ab73fb__horizontal_well.csv
14ad5efb,0,14ad5efb__horizontal_well.csv
14fee784,4,14fee784__horizontal_well.csv
153552f5,4,153552f5__horizontal_well.csv
1550491d,2,1550491d__horizontal_well.csv
155887bb,0,155887bb__horizontal_well.csv
1590af81,3,1590af81__horizontal_well.csv
15e154a1,4,15e154a1__horizontal_well.csv
1619e2ca,4,1619e2ca__horizontal_well.csv
16e4a047,2,16e4a047__horizontal_well.csv
173ed841,2,173ed841__horizontal_well.csv
1770d7c6,3,1770d7c6__horizontal_well.csv
177622d7,3,177622d7__horizontal_well.csv
18d24f7b,2,18d24f7b__horizontal_well.csv
19137a89,2,19137a89__horizontal_well.csv
1944513c,4,1944513c__horizontal_well.csv
197f8a5a,2,197f8a5a__horizontal_well.csv
19871e7f,1,19871e7f__horizontal_well.csv
198a5607,0,198a5607__horizontal_well.csv
19fb4f7b,1,19fb4f7b__horizontal_well.csv
1a518997,0,1a518997__horizontal_well.csv
1a68190b,4,1a68190b__horizontal_well.csv
1a730ac2,2,1a730ac2__horizontal_well.csv
1aaf1da0,0,1aaf1da0__horizontal_well.csv
1b08ed48,0,1b08ed48__horizontal_well.csv
1b1c5372,2,1b1c5372__horizontal_well.csv
1b1eba53,1,1b1eba53__horizontal_well.csv
1b6ba517,2,1b6ba517__horizontal_well.csv
1b82b665,4,1b82b665__horizontal_well.csv
1bcb2fcf,4,1bcb2fcf__horizontal_well.csv
1beca81d,2,1beca81d__horizontal_well.csv
1d3fbf02,4,1d3fbf02__horizontal_well.csv
1d78281a,0,1d78281a__horizontal_well.csv
1e30dedf,2,1e30dedf__horizontal_well.csv
1e5e3573,4,1e5e3573__horizontal_well.csv
1f9afacb,3,1f9afacb__horizontal_well.csv
1fdbba44,1,1fdbba44__horizontal_well.csv
1fee2b62,3,1fee2b62__horizontal_well.csv
20096916,2,20096916__horizontal_well.csv
200d233d,3,200d233d__horizontal_well.csv
201661b5,1,201661b5__horizontal_well.csv
203721ab,4,203721ab__horizontal_well.csv
20402d71,4,20402d71__horizontal_well.csv
2043abc5,0,2043abc5__horizontal_well.csv
204cc64b,1,204cc64b__horizontal_well.csv
206b6193,1,206b6193__horizontal_well.csv
2075c696,3,2075c696__horizontal_well.csv
22c5f93f,2,22c5f93f__horizontal_well.csv
230eaaa3,0,230eaaa3__horizontal_well.csv
2364716c,2,2364716c__horizontal_well.csv
23b9beb0,3,23b9beb0__horizontal_well.csv
24d8997e,1,24d8997e__horizontal_well.csv
25050f63,0,25050f63__horizontal_well.csv
25939962,1,25939962__horizontal_well.csv
25fd32b3,0,25fd32b3__horizontal_well.csv
261785ee,3,261785ee__horizontal_well.csv
264feceb,1,264feceb__horizontal_well.csv
26623a50,4,26623a50__horizontal_well.csv
26d3a96a,4,26d3a96a__horizontal_well.csv
272abef3,3,272abef3__horizontal_well.csv
27300fd5,0,27300fd5__horizontal_well.csv
276b012a,3,276b012a__horizontal_well.csv
27c3155b,2,27c3155b__horizontal_well.csv
27ebb9b9,2,27ebb9b9__horizontal_well.csv
283269ac,2,283269ac__horizontal_well.csv
28473855,2,28473855__horizontal_well.csv
28f4eda9,0,28f4eda9__horizontal_well.csv
29b24409,4,29b24409__horizontal_well.csv
29de15c8,4,29de15c8__horizontal_well.csv
2ab29395,1,2ab29395__horizontal_well.csv
2ac7cb6b,1,2ac7cb6b__horizontal_well.csv
2acc78d4,4,2acc78d4__horizontal_well.csv
2b034622,2,2b034622__horizontal_well.csv
2b06ad65,2,2b06ad65__horizontal_well.csv
2b547943,0,2b547943__horizontal_well.csv
2be5c96a,4,2be5c96a__horizontal_well.csv
2bff06cf,0,2bff06cf__horizontal_well.csv
2c0c4a4e,4,2c0c4a4e__horizontal_well.csv
2cee0cba,2,2cee0cba__horizontal_well.csv
2d0c268a,4,2d0c268a__horizontal_well.csv
2d179ded,3,2d179ded__horizontal_well.csv
2d196986,0,2d196986__horizontal_well.csv
2d2d0c6b,2,2d2d0c6b__horizontal_well.csv
2d35f86d,3,2d35f86d__horizontal_well.csv
2d9f6cb9,4,2d9f6cb9__horizontal_well.csv
2ddad940,2,2ddad940__horizontal_well.csv
2e29e833,0,2e29e833__horizontal_well.csv
2e43c2ea,3,2e43c2ea__horizontal_well.csv
2e63d9de,2,2e63d9de__horizontal_well.csv
2ee0235b,3,2ee0235b__horizontal_well.csv
2f19d536,1,2f19d536__horizontal_well.csv
2f8e53c3,0,2f8e53c3__horizontal_well.csv
2fa01aa6,4,2fa01aa6__horizontal_well.csv
2fd68f7b,2,2fd68f7b__horizontal_well.csv
2fe023be,1,2fe023be__horizontal_well.csv
30d75030,1,30d75030__horizontal_well.csv
310c71a5,4,310c71a5__horizontal_well.csv
32fe84c9,3,32fe84c9__horizontal_well.csv
33c40295,0,33c40295__horizontal_well.csv
3407f5bf,4,3407f5bf__horizontal_well.csv
3417285d,4,3417285d__horizontal_well.csv
347242c8,0,347242c8__horizontal_well.csv
353e5502,1,353e5502__horizontal_well.csv
357c12f9,4,357c12f9__horizontal_well.csv
3584a6eb,2,3584a6eb__horizontal_well.csv
35b30c7f,4,35b30c7f__horizontal_well.csv
35b3ef6a,4,35b3ef6a__horizontal_well.csv
367456ce,1,367456ce__horizontal_well.csv
368131f9,1,368131f9__horizontal_well.csv
368fe682,1,368fe682__horizontal_well.csv
3690a146,2,3690a146__horizontal_well.csv
37344c2a,0,37344c2a__horizontal_well.csv
373ef48b,0,373ef48b__horizontal_well.csv
374be387,2,374be387__horizontal_well.csv
37d36812,0,37d36812__horizontal_well.csv
38991fd4,4,38991fd4__horizontal_well.csv
389ae58f,3,389ae58f__horizontal_well.csv
3932faa6,4,3932faa6__horizontal_well.csv
398dce4b,3,398dce4b__horizontal_well.csv
39b51819,2,39b51819__horizontal_well.csv
3a0af893,2,3a0af893__horizontal_well.csv
3a223519,3,3a223519__horizontal_well.csv
3a7dd95d,4,3a7dd95d__horizontal_well.csv
3a824aa7,3,3a824aa7__horizontal_well.csv
3a86fe8d,0,3a86fe8d__horizontal_well.csv
3aaa2b30,0,3aaa2b30__horizontal_well.csv
3ac16ad0,1,3ac16ad0__horizontal_well.csv
3b21ea64,1,3b21ea64__horizontal_well.csv
3bbe1f5d,0,3bbe1f5d__horizontal_well.csv
3bfee975,3,3bfee975__horizontal_well.csv
3c3dbcbc,0,3c3dbcbc__horizontal_well.csv
3d96d897,2,3d96d897__horizontal_well.csv
3df4b19e,4,3df4b19e__horizontal_well.csv
3e011332,1,3e011332__horizontal_well.csv
3e678ea7,1,3e678ea7__horizontal_well.csv
3ef6372a,1,3ef6372a__horizontal_well.csv
3ef98781,4,3ef98781__horizontal_well.csv
3f603129,2,3f603129__horizontal_well.csv
404c4384,4,404c4384__horizontal_well.csv
4121c517,0,4121c517__horizontal_well.csv
41fb0192,3,41fb0192__horizontal_well.csv
42669188,0,42669188__horizontal_well.csv
42c538a1,1,42c538a1__horizontal_well.csv
43b06c70,4,43b06c70__horizontal_well.csv
43c7f85a,1,43c7f85a__horizontal_well.csv
43e16325,0,43e16325__horizontal_well.csv
44441e54,0,44441e54__horizontal_well.csv
445af6c2,4,445af6c2__horizontal_well.csv
4463446c,0,4463446c__horizontal_well.csv
44a94013,4,44a94013__horizontal_well.csv
45fb3e21,2,45fb3e21__horizontal_well.csv
460f859e,4,460f859e__horizontal_well.csv
4630ab92,3,4630ab92__horizontal_well.csv
463c38f2,0,463c38f2__horizontal_well.csv
